"id","name","code","executive","employee","worker"
occupation_type_employee_136005,"Director De Esep/Senati, Etc.",136005,True,True,False,
occupation_type_employee_136007,Director De Instituto Academico,136007,True,True,False,
occupation_type_employee_136008,Director De Nucleos Educativos Comunales,136008,True,True,False,
occupation_type_employee_136010,Director Departamental De Educacion,136010,True,True,False,
occupation_type_employee_136012,Rector,136012,True,True,False,
occupation_type_employee_136013,Vice-Rector,136013,True,True,False,
occupation_type_employee_137005,Gerente De Administracion,137005,True,True,False,
occupation_type_employee_137006,Gerente De Creditos,137006,True,True,False,
occupation_type_employee_139010,Gerente De Comercializacion,139010,True,True,False,
occupation_type_employee_139011,Gerente De Ventas,139011,True,True,False,
occupation_type_employee_141001,"Gerente, Agricultura",141001,True,True,False,
occupation_type_employee_141002,"Gerente, Caza",141002,True,True,False,
occupation_type_employee_141003,"Gerente, Explotacion: Agricola, Forestal Y Pecuaria",141003,True,True,False,
occupation_type_employee_141004,"Gerente, Pesca",141004,True,True,False,
occupation_type_employee_141005,"Gerente, Silvicultura",141005,True,True,False,
occupation_type_employee_142001,"Gerente, Explotacion De Minas Y Canteras",142001,True,True,False,
occupation_type_employee_142002,"Gerente, Industria Manufacturera",142002,True,True,False,
occupation_type_employee_142003,"Gerente, Suministro De Electricidad, Gas Y Agua",142003,True,True,False,
occupation_type_employee_143001,"Gerente, Construccion",143001,True,True,False,
occupation_type_employee_144003,"Gerente, Comercio Mayorista",144003,True,True,False,
occupation_type_employee_144004,"Gerente, Comercio Mayorista/ Exportacion",144004,True,True,False,
occupation_type_employee_144005,"Gerente, Comercio Mayorista/ Importacion",144005,True,True,False,
occupation_type_employee_144006,"Gerente, Comercio Minorista",144006,True,True,False,
occupation_type_employee_144007,"Gerente, Comercio Minorista/ Cadena De Almacenes",144007,True,True,False,
occupation_type_employee_144008,"Gerente, Comercio Minorista/ Tiendas",144008,True,True,False,
occupation_type_employee_144009,"Gerente, Comercio Minorista/ Tiendas (Autoservicio)",144009,True,True,False,
occupation_type_employee_144010,"Gerente, Comercio Minorista/ Tiendas (Ventas Con Descuentos",144010,True,True,False,
occupation_type_employee_144011,"Gerente, Comercio Minorista/ Tiendas (Ventas Por Correo)",144011,True,True,False,
occupation_type_employee_144012,"Gerente Reparacion De Vehiculos, Auto Motores, Motocicletas",144012,True,True,False,
occupation_type_employee_144013,"Gerente, Tienda",144013,True,True,False,
occupation_type_employee_145005,"Gerente, Comercio Nep",145005,True,True,False,
occupation_type_employee_146001,"Gerente, Albergue/ Jovenes",146001,True,True,False,
occupation_type_employee_146002,"Gerente, Bar/Discoteca Y Snack Bar",146002,True,True,False,
occupation_type_employee_146003,"Gerente, Cafe-Teatro",146003,True,True,False,
occupation_type_employee_146004,"Gerente, Cafeteria",146004,True,True,False,
occupation_type_employee_146005,"Gerente, Campamento/ Vacaciones",146005,True,True,False,
occupation_type_employee_146006,"Gerente, Cantina/ Empresa",146006,True,True,False,
occupation_type_employee_146007,"Gerente, Casa De Huespedes",146007,True,True,False,
occupation_type_employee_146008,"Gerente, Fonda",146008,True,True,False,
occupation_type_employee_146009,"Gerente, Hosteleria",146009,True,True,False,
occupation_type_employee_146010,"Gerente, Hotel",146010,True,True,False,
occupation_type_employee_146011,"Gerente, Motel",146011,True,True,False,
occupation_type_employee_146012,"Gerente, Parque De Caravanas",146012,True,True,False,
occupation_type_employee_146013,"Gerente, Pension",146013,True,True,False,
occupation_type_employee_146014,"Gerente, Peña",146014,True,True,False,
occupation_type_employee_146015,"Gerente, Restaurante",146015,True,True,False,
occupation_type_employee_146016,"Gerente, Restaurante-Bar",146016,True,True,False,
occupation_type_employee_146017,"Gerente, Restaurante/ Autoservicio",146017,True,True,False,
occupation_type_employee_146018,"Gerente, Snack-Bar",146018,True,True,False,
occupation_type_employee_146019,"Gerente, Taberna",146019,True,True,False,
occupation_type_employee_147001,"Gerente, Almacenamiento",147001,True,True,False,
occupation_type_employee_147002,"Gerente, Comunicaciones",147002,True,True,False,
occupation_type_employee_147003,"Gerente, Transporte",147003,True,True,False,
occupation_type_employee_145003,"Concesionario-Adm., Rest. Y Cafeteria (Fab. Y Ofic.)",145003,True,True,False,
occupation_type_employee_145004,"Concesionario-Adm., Rest. Y Bar/Cafeteria (Tren, Barco, Avi",145004,True,True,False,
occupation_type_employee_211001,Astrofisico,211001,True,True,False,
occupation_type_employee_211002,Astronomo,211002,True,True,False,
occupation_type_employee_211003,Fisico,211003,True,True,False,
occupation_type_employee_211004,"Fisico, Acustica",211004,True,True,False,
occupation_type_employee_211005,"Fisico, Electricidad Y Magnetismo",211005,True,True,False,
occupation_type_employee_211006,"Fisico, Electronica",211006,True,True,False,
occupation_type_employee_211007,"Fisico, Estatica",211007,True,True,False,
occupation_type_employee_211008,"Fisico, Energia Solar (No Convencional)",211008,True,True,False,
occupation_type_employee_211009,"Fisico, Energia Nuclear",211009,True,True,False,
occupation_type_employee_211010,"Fisico, Fisica Nuclear",211010,True,True,False,
occupation_type_employee_211011,"Fisico, Fisica Teorica",211011,True,True,False,
occupation_type_employee_211012,"Fisico, Matematico",211012,True,True,False,
occupation_type_employee_211013,"Fisico, Mecanica",211013,True,True,False,
occupation_type_employee_211014,"Fisico, Optica",211014,True,True,False,
occupation_type_employee_211015,"Fisico, Sonido",211015,True,True,False,
occupation_type_employee_211016,"Fisico, Termodinamica",211016,True,True,False,
occupation_type_employee_211017,"Fisico, Otro",211017,True,True,False,
occupation_type_employee_212001,Cosmografo,212001,True,True,False,
occupation_type_employee_212002,Cosmologo,212002,True,True,False,
occupation_type_employee_212003,Climatologo,212003,True,True,False,
occupation_type_employee_212004,Meteorologo,212004,True,True,False,
occupation_type_employee_212005,"Meteorologo, Climatologia",212005,True,True,False,
occupation_type_employee_212006,"Meteorologo, Prevision Del Tiempo",212006,True,True,False,
occupation_type_employee_213001,Quimico,213001,True,True,False,
occupation_type_employee_213002,Quimico Analista,213002,True,True,False,
occupation_type_employee_213003,"Quimico, Colorantes",213003,True,True,False,
occupation_type_employee_213004,"Quimico, Control De Calidad",213004,True,True,False,
occupation_type_employee_213005,"Quimico, Corrosion",213005,True,True,False,
occupation_type_employee_213006,"Quimico, Cueros Y Pieles",213006,True,True,False,
occupation_type_employee_213007,"Quimico, Detergentes",213007,True,True,False,
occupation_type_employee_213008,"Quimico, Electroquimica",213008,True,True,False,
occupation_type_employee_213009,"Quimico, Farmacia",213009,True,True,False,
occupation_type_employee_213010,"Quimico, Farmacia/ Industria",213010,True,True,False,
occupation_type_employee_213011,"Quimico, Fisica/Otros",213011,True,True,False,
occupation_type_employee_213012,"Quimico, Industria Del Vidrio",213012,True,True,False,
occupation_type_employee_213013,"Quimico, Industria Metalurgica",213013,True,True,False,
occupation_type_employee_213014,"Quimico, Quimica Analitica",213014,True,True,False,
occupation_type_employee_213015,"Quimico, Quimica Inorganica",213015,True,True,False,
occupation_type_employee_213016,"Quimico, Quimica Mineral",213016,True,True,False,
occupation_type_employee_213017,"Quimico, Quimica Organica",213017,True,True,False,
occupation_type_employee_213018,"Quimico, Textiles",213018,True,True,False,
occupation_type_employee_213019,"Quimico, Tinturas",213019,True,True,False,
occupation_type_employee_213020,"Quimico, Otros (No Incluye Ing. Quimico)",213020,True,True,False,
occupation_type_employee_214001,Estratigrafista,214001,True,True,False,
occupation_type_employee_214002,Geodesia,214002,True,True,False,
occupation_type_employee_214003,Geofisico (Incluye Ingenieros),214003,True,True,False,
occupation_type_employee_214004,"Geofisico, Geomorfologia",214004,True,True,False,
occupation_type_employee_214005,"Geofisico, Hidrologia",214005,True,True,False,
occupation_type_employee_214006,"Geofisico, Oceanografia",214006,True,True,False,
occupation_type_employee_214007,"Geofisico, Sismologia",214007,True,True,False,
occupation_type_employee_214008,"Geofisico, Vulcanologia",214008,True,True,False,
occupation_type_employee_214009,Geologo (Incluye Ingenieros),214009,True,True,False,
occupation_type_employee_214010,"Geologo, Estratigrafia",214010,True,True,False,
occupation_type_employee_214011,"Geologo, Minas",214011,True,True,False,
occupation_type_employee_214012,"Geologo, Oceanografia",214012,True,True,False,
occupation_type_employee_214013,"Geologo, Paleontologia",214013,True,True,False,
occupation_type_employee_214014,"Geologo, Petroleo",214014,True,True,False,
occupation_type_employee_214015,Geomorfologo,214015,True,True,False,
occupation_type_employee_214016,Hidrologo,214016,True,True,False,
occupation_type_employee_214017,Micropaleontologo,214017,True,True,False,
occupation_type_employee_214018,Mineralogista,214018,True,True,False,
occupation_type_employee_214019,"Oceanografo, Geofisica",214019,True,True,False,
occupation_type_employee_214020,"Oceanografo, Geologia",214020,True,True,False,
occupation_type_employee_214021,Paleontologo,214021,True,True,False,
occupation_type_employee_214022,Petrologo,214022,True,True,False,
occupation_type_employee_214023,Sismologo,214023,True,True,False,
occupation_type_employee_214024,Vulcanologo,214024,True,True,False,
occupation_type_employee_215001,Actuario,215001,True,True,False,
occupation_type_employee_215002,"Matematico, Analisis Actuarial",215002,True,True,False,
occupation_type_employee_215003,"Matematico, Matematica Aplicada",215003,True,True,False,
occupation_type_employee_215004,"Matematico, Matematica Pura",215004,True,True,False,
occupation_type_employee_215005,"Matematico-Analista, Investigacion Operativa",215005,True,True,False,
occupation_type_employee_216001,Bioestadistico,216001,True,True,False,
occupation_type_employee_216002,Biometrista,216002,True,True,False,
occupation_type_employee_216003,Demografo,216003,True,True,False,
occupation_type_employee_216004,Estadistico,216004,True,True,False,
occupation_type_employee_216005,"Estadistico, Agricultura",216005,True,True,False,
occupation_type_employee_216006,"Estadistico, Bioestadistica",216006,True,True,False,
occupation_type_employee_216007,"Estadistico, Biometria",216007,True,True,False,
occupation_type_employee_216008,"Estadistico, Economia",216008,True,True,False,
occupation_type_employee_216009,"Estadistico, Encuestas",216009,True,True,False,
occupation_type_employee_216010,"Estadistico, Encuestas Por Sondeo",216010,True,True,False,
occupation_type_employee_216011,"Estadistico, Estadistica Aplicada",216011,True,True,False,
occupation_type_employee_216012,"Estadistico, Finanzas",216012,True,True,False,
occupation_type_employee_216013,"Estadistico, Investigacion",216013,True,True,False,
occupation_type_employee_216014,"Estadistico, Matematico",216014,True,True,False,
occupation_type_employee_216015,"Estadistico, Muestrista",216015,True,True,False,
occupation_type_employee_216016,"Ingeniero, Estadistico",216016,True,True,False,
occupation_type_employee_217001,"Administrador, Banco De Datos",217001,True,True,False,
occupation_type_employee_217002,"Analista, Sistemas Informaticos",217002,True,True,False,
occupation_type_employee_217003,"Analista, Sistemas Informaticos/Banco De Datos",217003,True,True,False,
occupation_type_employee_217004,"Analista, Sistemas Informaticos/Computadoras",217004,True,True,False,
occupation_type_employee_217005,"Analista, Sistemas Informaticos/Telecomunicaciones",217005,True,True,False,
occupation_type_employee_217006,"Analistas, Transmisiones/Sistemas Informaticos",217006,True,True,False,
occupation_type_employee_217007,"Ingeniero, Sistemas Informaticos",217007,True,True,False,
occupation_type_employee_217008,"Ingeniero, Aplicaciones De La Informatica",217008,True,True,False,
occupation_type_employee_218001,"Arquitecto, Edificios",218001,True,True,False,
occupation_type_employee_218002,"Arquitecto, Interiores De Edificios",218002,True,True,False,
occupation_type_employee_218003,"Ingeniero, De Transporte",218003,True,True,False,
occupation_type_employee_218004,"Planificador, Transito",218004,True,True,False,
occupation_type_employee_218005,Urbanista,218005,True,True,False,
occupation_type_employee_219001,Ingeniero Civil,219001,True,True,False,
occupation_type_employee_219002,"Ingeniero Civil, Construccion",219002,True,True,False,
occupation_type_employee_219003,"Ingeniero Civil, Construccion Y Obras Publicas",219003,True,True,False,
occupation_type_employee_219004,"Ingeniero Civil, Construccion/Aerodromos",219004,True,True,False,
occupation_type_employee_219005,"Ingeniero Civil, Construccion/Aeropuertos",219005,True,True,False,
occupation_type_employee_219006,"Ingeniero Civil, Construccion/Calles",219006,True,True,False,
occupation_type_employee_219007,"Ingeniero Civil, Construccion/Carreteras Y Autopistas",219007,True,True,False,
occupation_type_employee_219008,"Ingeniero Civil, Construccion/Chimeneas De Fabricas",219008,True,True,False,
occupation_type_employee_219009,"Ingeniero Civil, Construccion/Edificios Y/O Viviendas",219009,True,True,False,
occupation_type_employee_219010,"Ingeniero Civil, Construccion/Estructuras De Edificios",219010,True,True,False,
occupation_type_employee_219011,"Ingeniero Civil, Construccion/Estructuras Metalicas",219011,True,True,False,
occupation_type_employee_219012,"Ingeniero Civil, Construccion/Vias Ferreas",219012,True,True,False,
occupation_type_employee_219013,"Ingeniero Civil, Construccion/Instalaciones Portuarias",219013,True,True,False,
occupation_type_employee_219014,"Ingeniero Civil, Construccion/Muelles Y Puertos",219014,True,True,False,
occupation_type_employee_219015,"Ingeniero Civil, Construccion/Puentes",219015,True,True,False,
occupation_type_employee_219016,"Ingeniero Civil, Construccion/Torres",219016,True,True,False,
occupation_type_employee_219017,"Ingeniero Civil, Construccion/Tuneles",219017,True,True,False,
occupation_type_employee_219018,"Ingeniero Civil, Contratistas De Obras",219018,True,True,False,
occupation_type_employee_219019,"Ingeniero Civil, Inspector De Obras",219019,True,True,False,
occupation_type_employee_219020,"Ingeniero Civil, Irrigacion",219020,True,True,False,
occupation_type_employee_219021,"Ingeniero Civil, Mecanica/Suelos",219021,True,True,False,
occupation_type_employee_219022,"Ingeniero Civil, Trabajos Maritimos",219022,True,True,False,
occupation_type_employee_219023,"Ingeniero, Canales Y Puertos",219023,True,True,False,
occupation_type_employee_219024,"Ingeniero, Hidraulico",219024,True,True,False,
occupation_type_employee_219025,"Ingeniero, Hidrologia",219025,True,True,False,
occupation_type_employee_219026,"Ingeniero, Irrigacion",219026,True,True,False,
occupation_type_employee_219027,"Ingeniero, Sanitario",219027,True,True,False,
occupation_type_employee_221001,Electrotecnico Superior,221001,True,True,False,
occupation_type_employee_221002,Ingeniero Electricista,221002,True,True,False,
occupation_type_employee_221003,"Ingeniero Electricista, Alto Voltaje",221003,True,True,False,
occupation_type_employee_221004,"Ingeniero Electricista, Equipo Electromecanico",221004,True,True,False,
occupation_type_employee_221005,"Ingeniero Electricista, Equipo Electromecanico De Baja Pote",221005,True,True,False,
occupation_type_employee_221006,"Ingeniero Electricista, Iluminacion",221006,True,True,False,
occupation_type_employee_221007,"Ingeniero Electricista, Lineas Electricas",221007,True,True,False,
occupation_type_employee_221008,"Ingeniero Electricista, Produccion De Energia",221008,True,True,False,
occupation_type_employee_221009,"Ingeniero Electricista, Produccion De Energia Electrica",221009,True,True,False,
occupation_type_employee_221010,"Ingeniero Electricista, Traccion Electrica",221010,True,True,False,
occupation_type_employee_221011,"Ingeniero Electricista, Transporte De Corriente Electrica",221011,True,True,False,
occupation_type_employee_221012,"Ingeniero Electricista, Transporte Y Distribucion Energia",221012,True,True,False,
occupation_type_employee_221013,Tecnologo Electricidad,221013,True,True,False,
occupation_type_employee_221014,"Ingeniero Electronico, Construccion De Computadoras",221014,True,True,False,
occupation_type_employee_221015,Ingeniero De Ordenadores Electronicos,221015,True,True,False,
occupation_type_employee_221016,Ingeniero De Controles Industriales Y Electronica,221016,True,True,False,
occupation_type_employee_221017,"Ingeniero Electronico, Semiconductores",221017,True,True,False,
occupation_type_employee_221018,Ingeniero De Calculadoras Electronicas,221018,True,True,False,
occupation_type_employee_221019,Ingeniero Electronico,221019,True,True,False,
occupation_type_employee_221020,Ingeniero Telecomunicaciones,221020,True,True,False,
occupation_type_employee_221021,Ingeniero Telecomunicaciones/Radar,221021,True,True,False,
occupation_type_employee_221022,Ingeniero Telecomunicaciones/Radio,221022,True,True,False,
occupation_type_employee_221023,Ingeniero Telecomunicaciones/Sistemas De Seðales,221023,True,True,False,
occupation_type_employee_221024,Ingeniero Telecomunicaciones/Telefonos,221024,True,True,False,
occupation_type_employee_221025,Ingeniero Telecomunicaciones/Telegrafos,221025,True,True,False,
occupation_type_employee_221026,Ingeniero Telecomunicaciones/Television,221026,True,True,False,
occupation_type_employee_222001,Ingeniero Mecanico,222001,True,True,False,
occupation_type_employee_222002,"Ingeniero Mecanico, Aeronautica",222002,True,True,False,
occupation_type_employee_222003,"Ingeniero Mecanico, Agricultura (Ing. Agricola)",222003,True,True,False,
occupation_type_employee_222004,"Ingeniero Mecanico, Automotores",222004,True,True,False,
occupation_type_employee_222005,"Ingeniero Mecanico, Automoviles",222005,True,True,False,
occupation_type_employee_222006,"Ingeniero Mecanico, Calefaccion, Ventilacion Y Refrigeracio",222006,True,True,False,
occupation_type_employee_222007,"Ingeniero Mecanico, Climatizacion",222007,True,True,False,
occupation_type_employee_222008,"Ingeniero Mecanico, Construccion Naval",222008,True,True,False,
occupation_type_employee_222009,"Ingeniero Mecanico, Energia Nuclear",222009,True,True,False,
occupation_type_employee_222010,Ingeniero Mecanico Y Electricista,222010,True,True,False,
occupation_type_employee_222011,"Ingeniero Mecanico, Maquinaria Y Herramientas Industriales",222011,True,True,False,
occupation_type_employee_222012,"Ingeniero Mecanico, Motores A Reaccion",222012,True,True,False,
occupation_type_employee_222013,"Ingeniero Mecanico, Motores Diesel Y/O Propulsion A Chorro",222013,True,True,False,
occupation_type_employee_222014,"Ingeniero Mecanico, Motores De Combustion Interna",222014,True,True,False,
occupation_type_employee_222015,"Ingeniero Mecanico, Motores Marinos",222015,True,True,False,
occupation_type_employee_222016,"Ingeniero Mecanico, Motores/Equipo Para Barcos",222016,True,True,False,
occupation_type_employee_222017,"Ingeniero Mecanico, Motores/Excepto Los Marinos",222017,True,True,False,
occupation_type_employee_222018,"Ingeniero Mecanico, Motores/Locomotoras A Vapor",222018,True,True,False,
occupation_type_employee_222019,"Ingeniero Mecanico, De Fluidos",222019,True,True,False,
occupation_type_employee_222020,"Ingeniero Mecanico, Turbinas De Gas",222020,True,True,False,
occupation_type_employee_222021,"Ingeniero, Calefaccion, Ventilacion Y Refrigeracion",222021,True,True,False,
occupation_type_employee_222022,"Ingeniero, Climatizacion",222022,True,True,False,
occupation_type_employee_222023,"Ingeniero, Construccion Aeronautica",222023,True,True,False,
occupation_type_employee_222024,"Ingeniero, Construccion De Automoviles",222024,True,True,False,
occupation_type_employee_222025,"Ingeniero, Construccion Naval",222025,True,True,False,
occupation_type_employee_222026,"Ingeniero, Frio Industrial",222026,True,True,False,
occupation_type_employee_222027,"Ingeniero, Maquinaria Y Herramientas Industriales",222027,True,True,False,
occupation_type_employee_223001,Ingeniero Bioquimico Industrial,223001,True,True,False,
